time,down,up
20:14,327.42,33.26
20:16,358.28,33.36
20:17,428.0,34.66
20:19,432.28,33.21
20:20,307.64,34.62
20:22,339.14,35.21
20:23,304.12,33.27
20:25,384.62,36.88
20:26,334.05,33.48
20:27,410.03,36.08
